period,keyword_group,group_purpose,keywords,search_ratio,start_date,end_date,time_unit,collected_at
2026-05-04,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",62.71676,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-05-11,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",65.07018,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-05-18,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",64.6573,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-05-25,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",67.29975,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-06-01,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",77.49793,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-06-08,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",66.92815,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-06-15,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",42.85714,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-05-26,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",12.51032,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-02,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",15.44178,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-09,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",19.07514,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-16,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",24.56647,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-23,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",16.92815,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-30,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",13.29479,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-07,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",11.39554,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-14,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",12.46903,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-21,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",13.45995,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-28,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",13.00578,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-04,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",14.20313,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-11,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",11.89099,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-18,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",10.77621,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-25,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",10.03303,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-01,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",10.56977,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-08,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",8.29892,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-15,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",8.34021,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-22,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",8.42279,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-29,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.19322,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
