content_id,platform_id,platform_name,keyword,title,content_text,date
365442493,4,everytime,단기 임대,2월 말에 입주 가능한 방 찾아요!,"유학 중이라 2월 말에 귀국하는데 2월 말-3월 초에 입주 가능한 방 찾고 있습니다!혹시 단기로 방 비우시는 분도 괜찮고 (여자, 비흡연자예요)만약 아예 임대하시는 거라면 2년 계약 말고 1년 계약인 곳으로 찾고 있어요댓글이나 쪽지 주시면 감사하겠습니다!",2026-01-09
365327525,4,everytime,단기 임대,월40 투룸 6개월 단기임대 합니다!,"📍비흡연자 여자 분만 가능합니다. 흡연 절대 xxx제가 4년 동안 거주한 곳이고, 단기임대 끝나도 계속 거주할 예정이라 잠깐 나가있는 동안 내놓습니다.다음주까진 계약확정 끝내고 싶어서 저렴하게 올립니다! 빠르게 결정하실 수 있는 분이면 더 좋습니다.평일",2026-01-08
365266019,4,everytime,단기 임대,1월 31일 ~ 2월 26일 단기 임대 구합니다,안녕하세요 2월에 한달 정도 살 집을 구하고 있습니다깨끗하게 사용할 수 있습니다다른 기숙사에서 살다가 한달 동안 기숙사에 살 수는 없고 서울에 계속 머물러야해서 원룸이든 어떤 타입이든 상관 없습니다!! 위치도 상관 없습니다!!혹시 방학 한달 동안 고향에,2026-01-07
365257859,4,everytime,단기 임대,학교 근처 단기 임대 구합니다!,"기한은 1월 중순- 6월 말 또는 8월 말까지 희망합니다.여자, 비흡연자입니다.쪽지 부탁드립니다 :)",2026-01-07
364663829,4,everytime,단기 임대,2월부터 1학기 단기 원룸 임대 구합니다!,쪽지주세요! 깨끗하게 쓰겠습니다! 비흡연자 입니다!,2026-12-30
364051686,4,everytime,단기 임대,단기임대,안암역-보문역 사이에 위치하고 있어서 고려대학교 이공대 캠퍼스까지 도보로 5분 이내 거리입니다.1월~2월 초중순까지 단기임대 합니다!,2026-12-23
363905752,4,everytime,단기 임대,내가 과도하게 서운해 하는지 봐줘,여자친구랑 싸웠어여자친구는 직장인임 난 대학생1. 여자친구는 이성 사친 관계에 대해이해를 못하는 편임 나는 그렇지 않지만애인이 있으면 여사친 만나는 것에는 자제해야 된다는 것에 동의해서여자친구 사귀고 나는 3년간 친하게 지내,2026-12-21
363777844,4,everytime,단기 임대,단기임대,12월 21일부터 1월 20일까지 단기임대하실분 계시나요??,2026-12-20
362211902,4,everytime,단기 임대,충무로 원룸 단기 임대,충무로 원룸 12/12~1/31 사이에 단기임대 하실분 구해요. 궁금하신거 편하게 쪽지주세요!,2026-12-06
362126784,4,everytime,단기 임대,12/10~1/31 사이 충무로 단기임대,충무로 원룸 12/10~1/31일 사이 단기임대 하실 분 구합니다. 월세 50이고 동국대 후문 1~2분 거리입니다.궁금하신거 옵챗으로 편하게 질문주세요~https://open.kakao.com/o/s6YVFB3g,2026-12-05
360489569,4,everytime,단기 임대,‼️충무로 근처 단기 임대 구합니다‼️,"충무로, 동대문, 동입 근처 희망합니다.기간 : 12월 23일 ~ 2월 14일제가 여자라서 여성분이 사셨던 곳이면 좋겠고, 비흡연자이고, 혼자서 조용히 정말 깨끗하게 사용하고 나올 예정입니다. 연락 부탁드립니다🥺",2026-11-18
359599049,4,everytime,단기 임대,동입 원룸 단기임대,"기간2025 1월  ~ 2025 6월 첫째주보증금 300 월세 60위치 : 쪽문 2분거리/ 정문 5분 / 동대입구역 8분여자분 선호침대, 책상, 책장, 전자레인지, 에어프라이어, 화장대, 전신거울, 신발장 구비 풀옵",2026-11-11
359476648,4,everytime,단기 임대,계절학기 동안 쓸 방 구해요 ㅠㅠ,"12/23 - 1/14 동안 쓸 원룸 ,,,단기 임대가 너무너무 필요해서 ㅠㅠ 한번 구해봐요 ㅠㅠㅠ",2026-11-09
354447988,4,everytime,단기 임대,프랑스 단기 임대 사이트,좋은 곳 아는 사람 있으면 공유부탁드립니다!👏😀😀,2026-09-13
350865402,4,everytime,단기 임대,2학기 단기임대 구합니다,9월부터 12월까지 임대해주실 분 구합니다비흡연자 여자이고 동일한 조건이신 분이면 서로 편할 것 같아요. 자취 경험 있고 집 깨끗하게 씁니다!2학기동안 방을 비우실 분이 계신다면 아래 오픈채팅으로 편하게 연락주세요☺️https://open.kakao.com,2026-08-09
349845114,4,everytime,단기 임대,8/22~12/17 사이 동입 자취촌 원룸 단기임대,"8/22~12/17 사이 동입 자취촌 원룸 단기임대월세 50 보증금 없음월세에 수도세, 인터넷 포함 (전기, 가스 제외)퇴실시 청소비 5만원전대차 계약서 작성 필수8/22~12/17 사이 날짜면 임대 기간 조정 가능합니다&",2026-07-29
349237650,4,everytime,단기 임대,8월 한 달 오피스텔 단기 임대,"층무로, 동대문, 을지로 모두 도보 10분 이내 오피스텔 단기 임대하실 여성분 구합니다!관심 있으신 분들 쪽지 주세요!",2026-07-20
347055111,4,everytime,단기 임대,근데,학교 근처 방학 단기 임대 왜 구하는거임 ?,2026-06-22
345969533,4,everytime,단기 임대,‼️방학 중 자취방 단기임대 구합니다‼️,"‼️방학 중 자취방 단기임대 구합니다‼️위치 : 동대입구/충무로역 근처희망 기간 : 종강 후 ~ 8월제가 여자라서, 여성분이 쓰시던 방으로 구해봅니당 !방학때 본가 내려가서 방 비는 분들 연락주세요😊카카오톡 오픈채팅을 시작해 보세요.",2026-06-13
344139016,4,everytime,단기 임대,2학기 단기임대 구합니다!,여자비흡연서울이면 다 상관없어용8월~내년 1월달까지 원합니다쪽지주세요!,2026-05-28
343644249,4,everytime,단기 임대,여름방학 단기임대 구합니다!,"여름방학 단기임대 구합니다5월, 6월부터 ~8월 단기임대 구합니다!!여자고 집에 길게 있을것 같지 않구 깨끗하게 사용 하겠습니다!! 연락주세요!!",2026-05-23
343642084,4,everytime,단기 임대,원룸 월세 무조건 2년인가?,특별히 단기임대라고 안써있으면 무조건 2년이야?중간에 방빼려면 세입자 구해야하고?1년정도만 살고 싶은데..,2026-05-23
342553514,4,everytime,단기 임대,방학 기간동안 단기임대 구합니다!,"남자지만, 결벽증이라고 얘기를 들을 정도로 청결에 진심인 편입니다아주 깨끗하게 쓸 자신있어요! 위치만 어느정도 조건과 맞는다면 다 괜찮습니다8월 초중순까지 구해봐요 연락주세요 :)",2026-05-12
340762885,4,everytime,단기 임대,6/17~8/23(또는 7/4) 단기임대 구합니다,"6/17~8/23까지 10주동안 단기임대로 살 원룸 구합니다. (혹시 저때가 불가능하시면 6/17 - 7/4까지만이라도 구합니다)상세조건은 아래와 같습니다.- 28살 남성, 비흡연자입니다.- 깔끔한 것을 좋아해서 청소 자주 하는 편입니다- 위치",2026-04-24
337678210,4,everytime,단기 임대,CPA 책 처분합니다 많이 가져가세요!!!!!,"1. 심유식 상법 빈지노 5판 (새책) - 6,000원2. 김판기 경제학 일특 (제본 / 약간의 밑줄 / 사진 3~4번 참고)  - 8,000원3. 양소영 세법 10개년 (최신판 / 새책 / 해설 보기 편하려고 칼로 반 갈랐음) - 12,000원4. 임세",2026-03-30
330534147,4,everytime,단기 임대,3~7월 초까지만 서울에 있을건데 월세 방 구할 수 있을까요?,"지금까지 방을 구하지 못해서 너무 걱정되네영,,,,,꼭 월세 아니더라도 하숙같은거라도 구하고싶은데 단기임대 매물도 많이 있나요?",2026-02-14
327794879,4,everytime,단기 임대,단기임대 구합니다,성별 : 남흡연 : x기간 : 2~6개월 사이위치 : 학교랑 30분이내잠깐 혼자 살고 싶어서 단기임대 구해요!아래 오픈채팅으로 연락주세요https://open.kakao.com/o/sY9tY43f,2026-01-16
327777020,4,everytime,단기 임대,단기임대 구해요,여자입니다 신림이랑 가까우면 더 좋습니다..!ㅠㅠ고시 때문에 실강 다니는데 통학 시간이 길어서요..빠른 입주 희망하고 2월 중순이나 초까지도 괜찮아요! 연락주세요!😭,2026-01-16
327705056,4,everytime,단기 임대,2월 단기 임대 가능한 방 찾습니다(3월 1일일까지),"2월 15일~3월 1일 단기로 살수 있는 쉐어하우스, 원룸, 오피스텔을 구하고 있습니다!연락 부탁드립니다!",2026-01-15
327652755,4,everytime,단기 임대,단기 임대할 수 있는 집 구합니다(글쓴이 남자),"동국대 근처(정문, 후문 크게 상관 없음)에서 1월 말부터 2월 말까지 단기로 임대할 수 있을만한 곳 있으면 쪽지 주세요ㅠㅠ 근처에서 교육 받는 거 때문에 올라와야 하는데 머물 곳이 필요합니다ㅠㅠ",2026-01-14
327602639,4,everytime,단기 임대,단기임대할 집 구해요,학교 근처에 두 세달정도 단기임대할 원룸 구해요!관심있으시면 쪽지주세요!!,2026-01-13
327584511,4,everytime,단기 임대,단기 임대 구합니다!,"지금시점부터 2월말까지 1달 15일 정도 지낼 방을 알아보고 있습니다. 생각 있으신분들은 연락 부탁드리겠습니다! (동입,충무로)",2026-01-13
325154468,4,everytime,단기 임대,"내년 상반기 단기임대할 원룸, 오피스텔",학교 근처도 괜찮고7호선 혹은 분당선 라인도 환영입니다 🤗쪽지주세요,2026-12-16
324573054,4,everytime,단기 임대,2024 1~6월 단기임대 구해요~~,"6월말까지 살 수 있는 방 구합니다! (날짜 조정 가능)여자고 쉐어하우스, 원룸 다 괜찮아요쪽지나 오픈카톡 부탁드려요~~https://open.kakao.com/o/sanwjIuf",2026-12-11
323582037,4,everytime,단기 임대,단기임대 원룸 구합니다,12월15일부터 2월 중순까지 살 방을 구합니다.보증금 없이 계약기간 남았는데 본가가시는 분들 월세만 내고 살 수 있는 방 넘겨주시면 감사하겠습니다.쪽지 부탁드립니다,2026-11-30
322657670,4,everytime,단기 임대,12월 중순-1월 중순 단기임대 구합니다,경복궁역 인근에서 인턴을 하게되어 단기 임대를 찾고잇습니다원룸 오피스텔 다 괜찮습니다비흡연 여성입니다 쪽지주세요!!,2026-11-19
